fact_table_natural_key (txn_id),accm_txn_complete_time
165,2022-05-24 12:29:19
166,2022-05-24 06:03:31
167,2022-05-23 04:24:11
168,2022-05-28 16:21:40
169,2022-05-24 21:17:22
170,2022-05-27 06:11:16
171,2022-05-22 11:35:01
172,2022-05-25 23:21:37
173,2022-05-23 17:09:07
174,2022-05-27 20:52:08
175,2022-05-30 07:45:29
176,2022-05-28 06:10:12
177,2022-05-27 05:44:36
178,2022-05-27 19:36:27
179,2022-05-28 04:59:59
180,2022-05-28 23:45:22
181,2022-05-27 15:27:45
182,2022-05-22 03:41:50
183,2022-05-25 17:44:21
184,2022-05-23 08:02:40
185,2022-05-28 21:59:12
186,2022-05-20 18:01:12
187,2022-05-28 11:12:23
188,2022-05-26 11:32:25
189,2022-05-25 00:00:30
190,2022-05-25 16:13:39
191,2022-05-20 23:54:01
192,2022-05-25 10:06:18
193,2022-05-21 06:05:03
194,2022-05-22 12:15:42
195,2022-05-23 21:59:12
196,2022-05-21 01:49:57
197,2022-05-26 14:26:10
198,2022-05-22 09:08:03
199,2022-05-24 03:37:08
200,2022-05-21 22:41:34
201,2022-05-28 19:11:27
202,2022-05-29 22:13:50
203,2022-05-26 21:56:44
204,2022-05-30 03:30:29
205,2022-05-27 09:24:16
206,2022-05-22 00:20:10
207,2022-05-21 20:25:40
208,2022-05-26 10:19:56
209,2022-05-24 17:44:34
210,2022-05-21 09:20:57
211,2022-05-22 04:09:22
212,2022-05-20 21:00:34
213,2022-05-23 05:40:20
214,2022-05-22 03:37:55
215,2022-05-27 23:58:15
216,2022-05-24 12:00:33
217,2022-05-29 23:20:58
218,2022-05-27 10:26:01
219,2022-05-27 18:47:02
220,2022-05-24 17:12:04
221,2022-05-29 16:43:57
222,2022-05-30 04:49:09
223,2022-05-26 00:14:25
224,2022-05-24 00:54:18
225,2022-05-29 07:24:56
226,2022-05-28 10:57:16
227,2022-05-27 03:54:07
228,2022-05-22 05:38:13
229,2022-05-29 05:33:29
230,2022-05-23 12:41:34
231,2022-05-22 20:12:01
232,2022-05-25 07:20:14
233,2022-05-24 08:28:24
234,2022-05-25 00:21:02
235,2022-05-24 22:36:34
236,2022-05-25 05:17:21
237,2022-05-24 09:55:29
238,2022-05-29 12:24:46
239,2022-05-24 12:19:03
240,2022-05-23 20:04:57
241,2022-05-22 13:13:02
242,2022-05-25 23:46:58
243,2022-05-29 12:06:14
244,2022-05-20 20:31:48
245,2022-05-29 01:11:38
246,2022-05-28 16:10:35
247,2022-05-27 21:22:04
248,2022-05-28 03:04:26
249,2022-05-28 21:47:49
250,2022-05-27 22:31:57
251,2022-05-25 00:12:10
252,2022-05-28 00:04:27
253,2022-05-24 15:38:26
254,2022-05-27 18:55:09
255,2022-05-23 20:34:15
256,2022-05-23 06:15:34
257,2022-05-21 12:29:37
258,2022-05-22 04:21:57
259,2022-05-25 13:30:36
260,2022-05-26 13:29:54
261,2022-05-25 23:01:07
262,2022-05-27 22:33:01
263,2022-05-21 22:01:56
264,2022-05-21 11:54:00
265,2022-05-26 06:24:26
266,2022-05-28 00:25:17
267,2022-05-20 12:27:25
268,2022-05-30 01:02:22
269,2022-05-20 22:22:16
270,2022-05-29 01:40:31
271,2022-05-26 04:23:55
272,2022-05-29 08:39:04
273,2022-05-25 00:51:02
274,2022-05-30 06:16:00
275,2022-05-27 07:19:30
276,2022-05-24 16:52:01
277,2022-05-20 22:50:28
278,2022-05-23 15:47:54
279,2022-05-27 19:13:46
280,2022-05-26 00:49:18
281,2022-05-26 01:30:37
282,2022-05-27 03:57:29
283,2022-05-21 08:41:27
284,2022-05-27 21:25:59
285,2022-05-29 05:35:24
286,2022-05-23 07:53:08
287,2022-05-25 12:22:10
288,2022-05-23 13:54:08
289,2022-05-23 11:46:56
290,2022-05-29 16:24:23
291,2022-05-22 11:05:08
292,2022-05-30 07:03:38
293,2022-05-24 11:28:35
294,2022-05-26 12:58:23
295,2022-05-21 19:38:35
296,2022-05-27 22:26:54
297,2022-05-20 15:03:14
298,2022-05-20 17:22:34
299,2022-05-27 15:52:25
300,2022-05-25 22:27:59
301,2022-05-22 08:29:25
302,2022-05-28 19:21:19
303,2022-05-28 02:11:07
304,2022-05-23 13:42:47
305,2022-05-21 23:03:46
306,2022-05-26 18:16:23
307,2022-05-20 20:59:26
308,2022-05-23 16:25:11
309,2022-05-26 22:50:51
310,2022-05-23 00:22:57
311,2022-05-21 06:39:31
312,2022-05-28 07:38:21
313,2022-05-24 20:33:10
314,2022-05-28 09:49:02
315,2022-05-21 16:07:32
316,2022-05-20 12:03:10
317,2022-05-20 19:34:26
318,2022-05-25 06:17:00
319,2022-05-21 17:47:09
320,2022-05-30 03:06:05
321,2022-05-27 11:45:34
322,2022-05-25 14:27:53
323,2022-05-20 18:27:14
324,2022-05-25 05:32:35
325,2022-05-25 18:12:14
326,2022-05-28 19:54:08
327,2022-05-20 20:08:08
328,2022-05-20 13:46:49
329,2022-05-25 08:30:26
330,2022-05-26 10:24:08
331,2022-05-25 03:23:48
332,2022-05-24 02:08:54
333,2022-05-24 09:16:15
334,2022-05-30 03:00:48
335,2022-05-28 13:45:16
336,2022-05-25 13:35:59
337,2022-05-22 23:06:06
338,2022-05-26 08:28:49
339,2022-05-27 19:59:34
340,2022-05-24 04:13:44
341,2022-05-20 21:35:01
342,2022-05-27 18:55:44
343,2022-05-28 11:25:48
344,2022-05-25 08:41:45
345,2022-05-28 18:52:53
346,2022-05-24 06:44:11
347,2022-05-26 04:09:05
348,2022-05-26 17:27:41
349,2022-05-28 10:48:03
350,2022-05-29 00:23:04
351,2022-05-28 12:19:11
352,2022-05-29 15:32:31
353,2022-05-25 18:58:27
354,2022-05-23 12:24:31
355,2022-05-25 12:15:26
356,2022-05-27 03:03:07
357,2022-05-25 03:19:09
358,2022-05-28 10:17:13
359,2022-05-28 22:26:41
360,2022-05-22 01:28:05
361,2022-05-21 19:59:20
362,2022-05-30 08:30:39
363,2022-05-24 00:26:10
364,2022-05-25 19:02:48
365,2022-05-24 00:17:53
366,2022-05-22 08:01:13
367,2022-05-25 08:29:27
368,2022-05-27 08:42:32
369,2022-05-29 15:05:52
370,2022-05-24 22:08:20
371,2022-05-24 13:12:21
372,2022-05-24 22:26:28
373,2022-05-20 20:27:21
374,2022-05-28 08:08:36
375,2022-05-23 18:52:08
376,2022-05-27 05:15:03
377,2022-05-21 21:24:23
378,2022-05-25 22:40:32
379,2022-05-24 09:54:18
380,2022-05-24 20:21:50
381,2022-05-21 18:59:13
382,2022-05-29 14:11:34
383,2022-05-24 08:42:08
384,2022-05-21 11:43:47
385,2022-05-22 13:16:25
386,2022-05-24 13:06:23
387,2022-05-29 02:07:44
388,2022-05-27 12:31:48
389,2022-05-21 00:21:55
390,2022-05-29 13:59:51
391,2022-05-24 19:46:46
392,2022-05-26 01:41:02
393,2022-05-27 20:47:01
394,2022-05-29 13:02:57
395,2022-05-23 13:56:02
396,2022-05-26 13:48:14
397,2022-05-24 08:47:16
398,2022-05-23 21:37:41
399,2022-05-28 08:46:59
400,2022-05-27 10:15:11
401,2022-05-29 04:14:52
402,2022-05-28 07:34:10
403,2022-05-26 00:14:53
404,2022-05-28 01:51:49
405,2022-05-28 22:20:54
406,2022-05-21 05:25:36
407,2022-05-26 15:37:11
408,2022-05-21 16:27:39
409,2022-05-24 13:58:46
410,2022-05-22 10:28:12
411,2022-05-29 00:12:24
412,2022-05-25 01:22:19
413,2022-05-22 12:39:25
414,2022-05-23 08:20:04
415,2022-05-28 22:42:19
416,2022-05-27 21:31:27
417,2022-05-22 17:54:36
418,2022-05-24 02:53:38
419,2022-05-20 23:09:52
420,2022-05-25 14:49:28
421,2022-05-27 22:22:47
422,2022-05-23 11:51:38
423,2022-05-30 04:59:53
424,2022-05-22 05:49:17
425,2022-05-21 09:49:56
426,2022-05-29 02:59:07
427,2022-05-22 06:04:36
428,2022-05-26 21:40:12
429,2022-05-22 07:16:24
430,2022-05-30 07:08:38
431,2022-05-24 21:30:43
432,2022-05-21 22:12:34
433,2022-05-24 22:47:03
434,2022-05-27 21:07:17
435,2022-05-22 04:05:40
436,2022-05-24 19:54:41
437,2022-05-21 15:01:12
438,2022-05-21 12:51:40
439,2022-05-21 10:36:52
440,2022-05-21 02:15:06
441,2022-05-30 05:30:31
442,2022-05-29 12:18:43
443,2022-05-24 22:05:18
444,2022-05-22 00:46:27
445,2022-05-28 07:02:40
446,2022-05-25 11:30:22
447,2022-05-21 07:35:59
448,2022-05-23 08:51:01
449,2022-05-23 19:00:47
450,2022-05-23 18:32:11
451,2022-05-26 18:07:45
452,2022-05-23 19:26:17
453,2022-05-23 06:01:30
454,2022-05-21 00:57:50
455,2022-05-23 17:26:49
456,2022-05-20 19:15:15
457,2022-05-26 12:40:51
458,2022-05-24 13:53:32
459,2022-05-27 09:29:03
460,2022-05-24 12:20:30
461,2022-05-26 18:29:45
462,2022-05-25 13:44:46
463,2022-05-23 17:32:04
464,2022-05-26 05:42:25
465,2022-05-22 09:31:33
466,2022-05-22 01:19:35
467,2022-05-26 11:36:28
468,2022-05-25 04:12:45
469,2022-05-23 22:33:38
470,2022-05-29 21:18:47
471,2022-05-25 19:19:29
472,2022-05-22 04:01:36
473,2022-05-27 22:48:53
474,2022-05-23 20:32:54
475,2022-05-28 20:42:58
476,2022-05-20 12:56:23
477,2022-05-20 14:37:56
478,2022-05-21 01:32:56
479,2022-05-21 21:49:07
480,2022-05-24 19:10:44
481,2022-05-29 21:56:04
482,2022-05-20 17:57:14
483,2022-05-20 23:28:29
484,2022-05-26 05:09:48
485,2022-05-28 12:18:28
486,2022-05-29 02:14:53
487,2022-05-24 17:52:04
488,2022-05-27 22:13:35
489,2022-05-21 12:31:43
490,2022-05-25 18:47:23
491,2022-05-29 19:17:15
492,2022-05-23 11:40:16
493,2022-05-24 05:51:18
494,2022-05-27 18:35:54
495,2022-05-26 11:36:36
496,2022-05-23 05:13:22
497,2022-05-24 09:21:48
498,2022-05-22 22:15:18
499,2022-05-24 06:39:40
500,2022-05-28 08:24:03
501,2022-05-26 20:23:30
502,2022-05-29 20:43:37
503,2022-05-22 16:40:05
504,2022-05-26 21:52:03
505,2022-05-26 14:46:39
506,2022-05-29 20:40:58
507,2022-05-26 17:51:36
508,2022-05-28 17:32:42
509,2022-05-24 10:04:56
510,2022-05-22 09:43:55
511,2022-05-22 13:36:35
512,2022-05-24 09:38:34
513,2022-05-20 13:54:44
514,2022-05-24 16:55:59
515,2022-05-27 16:08:49
516,2022-05-22 18:43:43
517,2022-05-27 04:44:27
518,2022-05-21 03:36:35
519,2022-05-22 12:50:47
520,2022-05-29 11:27:33
521,2022-05-28 06:42:47
522,2022-05-23 18:48:41
523,2022-05-29 18:29:33
524,2022-05-22 22:08:56
525,2022-05-23 01:32:55
526,2022-05-22 20:05:32
527,2022-05-30 00:36:07
528,2022-05-26 05:39:31
529,2022-05-23 23:36:30
530,2022-05-23 14:49:54
531,2022-05-29 13:06:16
532,2022-05-21 17:37:44
533,2022-05-21 12:51:15
534,2022-05-26 19:36:45
535,2022-05-20 13:29:54
536,2022-05-27 08:29:50
537,2022-05-27 00:20:00
538,2022-05-23 03:26:44
539,2022-05-29 11:48:31
540,2022-05-25 04:23:26
541,2022-05-28 00:45:59
542,2022-05-26 06:14:31
543,2022-05-27 01:43:15
544,2022-05-25 11:23:46
545,2022-05-24 07:47:51
546,2022-05-27 07:37:10
547,2022-05-20 21:17:14
548,2022-05-21 09:25:07
549,2022-05-27 06:31:30
550,2022-05-22 01:28:07
551,2022-05-28 01:56:12
552,2022-05-28 11:43:23
553,2022-05-24 12:09:36
554,2022-05-21 23:30:32
555,2022-05-27 13:13:22
556,2022-05-25 07:28:49
557,2022-05-27 07:36:14
558,2022-05-27 03:19:10
559,2022-05-23 10:14:15
560,2022-05-20 23:29:30
561,2022-05-23 19:08:31
562,2022-05-21 09:51:16
563,2022-05-26 15:22:51
564,2022-05-26 03:11:13
565,2022-05-27 06:32:18
566,2022-05-23 23:52:43
567,2022-05-21 10:15:53
568,2022-05-22 16:06:45
569,2022-05-27 06:23:07
570,2022-05-23 11:46:03
571,2022-05-28 03:27:05
572,2022-05-25 22:47:59
573,2022-05-22 17:06:50
574,2022-05-28 08:12:37
575,2022-05-21 02:15:39
576,2022-05-28 21:10:00
577,2022-05-28 20:46:23
578,2022-05-23 06:53:14
579,2022-05-27 01:05:18
580,2022-05-30 08:33:18
581,2022-05-25 22:07:18
582,2022-05-20 23:51:33
583,2022-05-25 12:32:49
584,2022-05-21 19:59:30
585,2022-05-29 19:16:20
586,2022-05-26 16:52:47
587,2022-05-23 06:48:04
588,2022-05-28 19:15:18
589,2022-05-26 22:34:27
590,2022-05-22 08:35:13
591,2022-05-21 00:32:04
592,2022-05-25 14:36:26
593,2022-05-25 06:52:24
594,2022-05-23 19:20:17
595,2022-05-26 07:33:15
596,2022-05-28 07:01:21
597,2022-05-29 14:15:04
598,2022-05-28 13:18:11
599,2022-05-23 16:49:30
600,2022-05-26 01:18:45
601,2022-05-28 17:26:18
602,2022-05-27 16:31:03
603,2022-05-23 08:29:45
604,2022-05-23 14:33:58
605,2022-05-21 12:25:29
606,2022-05-23 01:55:33
607,2022-05-28 23:13:48
608,2022-05-27 20:37:15
609,2022-05-24 17:35:11
610,2022-05-27 20:55:47
611,2022-05-26 16:21:25
612,2022-05-28 23:44:02
613,2022-05-21 17:45:15
614,2022-05-27 18:45:03
615,2022-05-29 20:07:55
616,2022-05-23 14:49:12
617,2022-05-24 18:25:58
618,2022-05-27 03:01:30
619,2022-05-26 14:37:29
620,2022-05-25 20:49:02
621,2022-05-30 04:17:17
622,2022-05-29 14:44:16
623,2022-05-22 12:02:04
624,2022-05-22 22:50:07
625,2022-05-25 11:37:17
626,2022-05-27 02:56:17
627,2022-05-26 02:04:18
628,2022-05-20 19:59:48
629,2022-05-26 19:29:39
630,2022-05-26 12:01:18
631,2022-05-23 13:31:58
632,2022-05-22 18:12:36
633,2022-05-26 15:11:37
634,2022-05-24 12:29:40
635,2022-05-26 08:39:32
636,2022-05-22 16:41:54
637,2022-05-21 07:06:05
638,2022-05-22 05:36:56
639,2022-05-25 20:44:23
640,2022-05-22 18:32:22
641,2022-05-26 15:23:15
642,2022-05-27 03:16:14
643,2022-05-26 07:07:51
644,2022-05-26 22:43:35
645,2022-05-21 11:16:13
646,2022-05-26 22:26:18
647,2022-05-26 22:20:55
648,2022-05-27 02:47:03
649,2022-05-26 07:44:09
650,2022-05-26 09:47:47
651,2022-05-28 08:41:28
652,2022-05-21 18:30:48
653,2022-05-29 13:55:11
654,2022-05-25 13:52:59
655,2022-05-21 05:32:32
656,2022-05-26 11:00:59
657,2022-05-24 15:47:40
658,2022-05-24 12:45:14
659,2022-05-28 13:39:03
660,2022-05-21 17:42:19
661,2022-05-26 13:55:14
662,2022-05-22 17:28:01
663,2022-05-25 07:14:29
664,2022-05-22 01:55:45
665,2022-05-29 00:35:03
666,2022-05-30 01:55:24
667,2022-05-29 10:45:56
668,2022-05-23 18:42:23
669,2022-05-21 04:07:14
670,2022-05-20 18:26:54
671,2022-05-23 22:04:48
672,2022-05-27 11:00:59
673,2022-05-27 12:46:48
674,2022-05-30 02:22:57
675,2022-05-22 09:21:08
676,2022-05-23 08:25:55
677,2022-05-27 12:34:30
678,2022-05-27 21:29:52
679,2022-05-22 08:17:36
680,2022-05-25 07:59:44
681,2022-05-25 12:24:05
682,2022-05-21 05:17:14
683,2022-05-23 06:07:22
684,2022-05-26 07:07:31
685,2022-05-27 00:03:18
686,2022-05-22 10:10:25
687,2022-05-27 15:12:42
688,2022-05-24 16:47:02
689,2022-05-28 16:09:44
690,2022-05-25 20:19:49
691,2022-05-27 02:18:06
692,2022-05-26 14:56:29
693,2022-05-24 21:34:08
694,2022-05-21 13:21:24
695,2022-05-22 17:00:19
696,2022-05-29 12:17:14
697,2022-05-21 19:03:47
698,2022-05-22 13:27:04
699,2022-05-21 14:56:48
700,2022-05-22 09:31:00
701,2022-05-26 12:20:48
702,2022-05-23 08:51:58
703,2022-05-30 06:56:17
704,2022-05-23 00:55:19
705,2022-05-27 00:53:30
706,2022-05-20 20:45:51
707,2022-05-21 17:30:56
708,2022-05-23 22:53:50
709,2022-05-21 00:25:41
710,2022-05-20 13:14:09
711,2022-05-28 03:24:02
712,2022-05-20 15:35:48
713,2022-05-23 03:39:36
714,2022-05-20 17:20:48
715,2022-05-26 03:21:55
716,2022-05-27 23:04:14
717,2022-05-21 16:51:29
718,2022-05-23 21:14:39
719,2022-05-23 13:01:11
720,2022-05-27 02:58:29
721,2022-05-27 15:16:03
722,2022-05-21 03:06:25
723,2022-05-22 06:52:33
724,2022-05-27 07:35:54
725,2022-05-24 22:44:57
726,2022-05-21 16:17:15
727,2022-05-27 00:24:00
728,2022-05-23 21:49:02
729,2022-05-25 07:57:03
730,2022-05-25 15:36:06
731,2022-05-26 19:06:11
732,2022-05-29 15:12:42
733,2022-05-27 18:25:24
734,2022-05-26 03:33:11
735,2022-05-20 16:24:39
736,2022-05-22 06:16:09
737,2022-05-26 19:20:52
738,2022-05-25 03:16:21
739,2022-05-27 03:48:02
740,2022-05-25 06:20:18
741,2022-05-29 23:32:53
742,2022-05-22 08:09:55
743,2022-05-29 05:08:38
744,2022-05-29 21:18:40
745,2022-05-21 14:48:36
746,2022-05-26 06:31:35
747,2022-05-23 05:53:59
748,2022-05-29 17:01:51
749,2022-05-23 14:55:35
750,2022-05-30 02:26:33
751,2022-05-21 15:47:58
752,2022-05-24 07:33:11
753,2022-05-24 16:03:57
754,2022-05-27 08:53:59
755,2022-05-26 14:40:59
756,2022-05-24 18:17:52
757,2022-05-27 22:09:24
758,2022-05-23 00:04:20
759,2022-05-27 19:36:14
760,2022-05-30 02:34:36
761,2022-05-26 00:03:42
762,2022-05-21 21:23:58
763,2022-05-29 02:41:57
764,2022-05-21 16:32:18
765,2022-05-22 06:03:22
766,2022-05-26 19:13:30
767,2022-05-29 16:17:11
768,2022-05-30 00:18:15
769,2022-05-21 12:09:00
770,2022-05-29 17:36:59
771,2022-05-24 22:48:22
772,2022-05-23 19:04:03
773,2022-05-29 13:09:16
774,2022-05-30 06:16:16
775,2022-05-25 05:38:37
776,2022-05-25 10:21:51
777,2022-05-29 15:01:41
778,2022-05-21 19:59:25
779,2022-05-26 08:02:03
780,2022-05-29 03:06:36
781,2022-05-29 06:48:08
782,2022-05-24 16:59:22
783,2022-05-24 12:03:54
784,2022-05-22 07:46:35
785,2022-05-23 19:27:54
786,2022-05-29 17:26:03
787,2022-05-27 09:58:47
788,2022-05-25 09:54:19
789,2022-05-21 08:27:06
790,2022-05-21 13:00:14
791,2022-05-22 15:26:33
792,2022-05-23 02:11:46
793,2022-05-29 10:11:34
794,2022-05-23 19:19:05
795,2022-05-27 04:01:38
796,2022-05-23 19:54:06
797,2022-05-24 06:20:17
798,2022-05-28 03:40:10
799,2022-05-24 11:26:32
800,2022-05-21 19:38:42
801,2022-05-24 11:27:47
802,2022-05-25 01:03:41
803,2022-05-23 03:45:17
804,2022-05-22 05:38:50
805,2022-05-30 02:33:45
806,2022-05-22 02:53:49
807,2022-05-28 17:03:00
808,2022-05-22 15:07:57
809,2022-05-29 16:34:24
810,2022-05-28 14:09:27
811,2022-05-24 18:15:48
812,2022-05-23 23:25:22
813,2022-05-25 15:30:47
814,2022-05-26 10:22:30
815,2022-05-21 13:07:36
816,2022-05-20 21:54:18
817,2022-05-23 15:09:58
818,2022-05-20 20:44:53
819,2022-05-28 12:27:04
820,2022-05-26 14:28:54
821,2022-05-26 03:28:19
822,2022-05-28 15:59:41
823,2022-05-22 16:08:28
824,2022-05-28 10:44:32
825,2022-05-26 13:03:25
826,2022-05-22 09:48:53
827,2022-05-26 20:33:10
828,2022-05-21 21:37:11
829,2022-05-25 12:27:08
830,2022-05-25 05:47:09
831,2022-05-21 18:24:48
832,2022-05-29 11:15:17
833,2022-05-25 02:12:19
834,2022-05-26 22:58:07
835,2022-05-23 13:33:21
836,2022-05-30 08:03:16
837,2022-05-24 01:35:33
838,2022-05-26 05:27:43
839,2022-05-25 02:46:09
840,2022-05-22 07:26:29
841,2022-05-29 10:15:56
842,2022-05-23 00:23:52
843,2022-05-24 02:20:13
844,2022-05-24 16:38:28
845,2022-05-23 04:20:16
846,2022-05-25 13:48:19
847,2022-05-27 15:20:10
848,2022-05-22 19:13:34
849,2022-05-23 01:53:50
850,2022-05-27 16:17:14
851,2022-05-26 21:03:35
852,2022-05-24 04:14:22
853,2022-05-28 14:35:36
854,2022-05-26 02:01:06
855,2022-05-28 00:14:11
856,2022-05-21 13:39:11
857,2022-05-23 18:32:24
858,2022-05-26 03:44:45
859,2022-05-24 01:35:38
860,2022-05-21 00:05:48
861,2022-05-21 18:46:31
862,2022-05-22 03:58:11
863,2022-05-23 17:04:50
864,2022-05-22 07:22:12
865,2022-05-23 09:09:15
866,2022-05-22 16:14:43
867,2022-05-23 20:47:09
868,2022-05-22 13:48:26
869,2022-05-20 15:29:53
870,2022-05-21 02:31:54
871,2022-05-24 06:57:15
872,2022-05-27 14:45:39
873,2022-05-22 07:00:29
874,2022-05-27 08:05:22
875,2022-05-21 22:09:35
876,2022-05-25 23:17:14
877,2022-05-22 13:22:01
878,2022-05-24 20:32:37
879,2022-05-29 06:24:00
880,2022-05-29 04:07:05
881,2022-05-24 02:55:07
882,2022-05-29 22:50:42
883,2022-05-28 01:15:12
884,2022-05-29 13:02:24
885,2022-05-23 19:59:29
886,2022-05-27 15:17:25
887,2022-05-29 12:19:31
888,2022-05-25 09:56:52
889,2022-05-27 20:34:52
890,2022-05-23 06:45:47
891,2022-05-29 15:54:45
892,2022-05-20 14:02:40
893,2022-05-28 09:32:42
894,2022-05-23 06:38:38
895,2022-05-21 13:26:42
896,2022-05-27 15:17:55
897,2022-05-23 20:17:09
898,2022-05-30 01:10:56
899,2022-05-20 19:48:41
900,2022-05-22 15:58:38
901,2022-05-28 04:30:51
902,2022-05-20 19:20:08
903,2022-05-21 17:58:04
904,2022-05-23 21:39:03
905,2022-05-21 08:38:23
906,2022-05-20 17:38:36
907,2022-05-20 16:31:55
908,2022-05-23 13:43:11
909,2022-05-25 09:27:47
910,2022-05-29 15:15:24
911,2022-05-21 15:24:57
912,2022-05-21 20:51:50
913,2022-05-29 08:16:44
914,2022-05-28 10:04:27
915,2022-05-20 12:39:16
916,2022-05-23 23:16:58
917,2022-05-30 00:35:28
918,2022-05-23 11:56:39
919,2022-05-28 01:28:24
920,2022-05-20 16:35:44
921,2022-05-26 14:19:39
922,2022-05-21 08:08:42
923,2022-05-26 22:51:59
924,2022-05-24 00:40:48
925,2022-05-29 15:27:03
926,2022-05-22 01:59:44
927,2022-05-23 15:13:56
928,2022-05-29 09:01:52
929,2022-05-29 02:13:07
